FID,distance to SAS,distance to stations before,distance decreased
0,1001.360647,344.854541,
1,1101.823443,274.1342409,
2,1047.971649,322.0165241,
3,1015.322174,339.8273615,
4,1086.452827,259.8366122,
5,1041.888557,307.5620912,
6,1054.52193,286.1465946,
7,1121.969067,253.3556953,
8,1197.614872,144.1760442,
9,1082.40161,241.968207,
10,1013.107191,398.4773493,
11,1005.04993,345.7669445,
12,1152.058398,197.7379116,
13,1115.247762,241.5803282,
14,1044.606816,301.1681723,
15,1089.814887,254.3798077,
16,1105.312597,235.2960044,
17,1039.594557,355.1342282,
18,1184.783619,234.4025595,
19,1143.754313,244.9611975,
20,1296.877039,88.05156483,
21,1171.331746,258.8940883,
22,968.0813527,409.2286021,
23,1279.745881,115.4430842,
24,1049.520733,339.9680563,
25,1058.761399,290.9260632,
26,1027.761431,315.2718265,
27,1113.272809,249.2484794,
28,1079.08624,265.4301447,
29,1097.889456,267.5024622,
30,987.3230505,371.9914796,
31,1126.289876,231.4161122,
32,1062.294981,294.3126114,
33,1003.639315,362.8432353,
34,1009.335583,343.6566328,
35,1192.189581,251.8131769,
36,1059.413233,282.0262887,
37,996.7110262,350.4022247,
38,1094.39863,254.2022135,
39,1162.266416,179.5177816,
40,1036.801422,327.4562763,
41,1069.967228,282.9971608,
42,1062.87935,288.9539462,
43,1084.209341,271.9362447,
44,1147.60995,217.5815738,
45,1012.840284,358.2686479,
46,1063.477239,278.4066853,
47,1110.262964,230.4026589,
48,1170.948138,185.5186864,
49,1047.499046,293.4034136,
50,1164.0089,249.0620821,
51,1025.512563,352.4804215,
52,995.7641076,397.785454,
53,1104.457226,247.6852826,
54,1115.250395,225.6399259,
55,1048.562586,298.1902947,
56,1100.567198,240.1369967,
57,982.0436598,375.2401828,
58,1226.320506,119.5946012,
59,1017.397135,356.0777439,
60,1107.769975,228.2117868,
61,1070.01011,272.7940673,
62,1103.244915,263.6282946,
63,1120.290876,221.0030599,
64,1056.414296,292.5744278,
65,989.2784721,359.9700082,
66,1235.460388,147.3973677,
67,1115.798949,258.0961259,
68,1031.099813,330.5690353,
69,1059.535775,281.0723656,
70,1090.042613,268.2531892,
71,963.2575632,432.7057285,
72,1053.26674,294.7646783,
73,1008.335683,360.3932053,
74,1095.008495,275.2271134,
75,992.1384903,428.9816254,
76,1134.338149,209.472984,
77,1067.056126,293.9397786,
78,1066.087173,314.5476274,
79,1134.585607,206.6864842,
80,983.7483232,402.3684612,
81,1251.731797,119.7981592,
82,1178.952041,225.9861835,
83,1155.795433,233.2870368,
84,1080.5274,277.4965877,
85,1077.623693,276.284617,
86,1042.301766,324.7145158,
87,1103.027588,239.8367665,
88,1136.463966,195.5204621,
89,975.4975641,405.860018,
90,1125.235192,259.2989645,
91,1179.164927,191.6300055,
92,1071.448345,287.542154,
93,1129.554814,212.2903641,
94,1165.148997,198.3541658,
95,1210.725188,234.6571272,
96,1040.544279,304.3185873,
97,1023.16024,335.0551423,
98,992.3749946,355.6315545,
99,998.5180213,365.5843767,
100,1015.347297,321.5608792,
101,1130.300626,267.9124341,
102,974.594897,428.6822664,
103,992.8619477,368.7506619,
104,1272.501413,88.58731188,
105,1125.536705,216.3725646,
106,1023.378704,318.7924216,
107,1241.132921,166.2939725,
108,1038.573153,302.8679977,
109,924.1558446,124.2317385,
110,1103.782758,127.8338447,
111,799.8647127,64.09874448,
112,942.2997432,117.0500078,
113,889.4835502,173.5890306,
114,943.6199397,151.4457368,
115,952.7673929,69.00098229,
116,939.1526557,539.061809,-400.0908467
117,952.8740708,168.9151741,
118,874.9141455,534.2621399,-340.6520056
119,828.2689401,303.0456325,
120,831.435264,77.39413279,
121,919.422715,103.6337389,
122,933.6256292,94.85156407,
123,940.9902538,107.003514,
124,946.3980143,155.6744036,
125,908.0050335,116.0850107,
126,964.3654711,87.74528149,
127,985.4571003,180.7988268,
128,999.7521478,102.3242194,
129,1011.587846,125.485985,
130,861.4187625,429.9432271,-431.4755354
131,947.5127513,80.57450911,
132,871.6441535,207.7565496,
133,1019.869952,261.5613986,
134,873.3050426,120.3197045,
135,882.9683087,83.21821248,
136,915.5162298,214.531494,
137,1104.266981,94.50643022,
138,795.7340894,514.9239451,-280.8101443
139,912.6332727,366.5742037,-546.059069
140,1014.763384,279.271413,
141,1016.547386,132.69479,
142,957.8529503,175.2200724,
143,944.4839219,224.1445112,
144,674.4303776,254.3010769,
145,810.5554851,37.99894597,
146,931.7327529,539.7430517,-391.9897012
147,699.0342131,376.4792802,-322.5549329
148,965.973195,55.17366327,
149,920.8701795,312.1868207,
150,939.384766,278.4915932,
151,1027.739844,195.0997028,
152,830.0412437,436.5126467,-393.528597
153,701.3845563,411.5333336,-289.8512227
154,1093.768067,65.55623559,
155,915.585121,475.9998577,-439.5852634
156,949.3480708,125.0211233,
157,789.4512961,218.3113737,
158,919.2159101,110.329658,
159,748.8807882,83.08410246,
160,828.7722047,422.3952455,-406.3769592
161,908.4222441,411.6495523,-496.7726918
162,623.3722538,407.8761823,-215.4960715
163,932.5351956,135.2913096,
164,900.0978108,121.268834,
165,778.7232386,381.9154071,-396.8078315
166,940.7105861,260.6648844,
167,1055.270471,131.0788745,
168,825.9132493,335.5645912,
169,910.4173756,133.7273653,
170,902.0998205,118.0176627,
171,987.8418959,193.109841,
172,912.3696565,238.0667872,
173,996.7365794,24.01453348,
174,903.9579404,122.842369,
175,782.6974941,265.528536,
176,965.9594173,149.1587784,
177,946.0642255,211.9130726,
178,871.2799999,123.6646679,
179,791.6468385,494.3274542,-297.3193843
180,868.8143399,222.2798449,
181,987.6551216,269.5030737,
182,917.2622191,203.2203788,
183,989.5228211,30.56117473,
184,949.1776656,190.7146914,
185,949.2250213,160.030479,
186,910.8735245,109.8522983,
187,1019.149204,136.6201232,
188,897.5920998,112.1537781,
189,877.1350701,78.04000177,
190,939.1815491,402.347377,-536.8341721
191,846.149603,330.7483909,
192,864.193109,67.86451026,
193,988.33163,260.555635,
194,997.4100713,184.0797118,
195,1026.031162,80.4873984,
196,879.3773152,85.20108452,
197,827.1576832,319.8734423,
198,854.1674165,329.855853,
199,691.7970324,172.4698874,
200,1038.838236,101.0532379,
201,921.8207618,512.7613281,-409.0594337
202,875.8000408,523.7217725,-352.0782683
203,781.1859466,280.4506208,
204,789.9842562,326.5871189,
205,579.7237637,395.7939493,-183.9298144
206,870.5969404,212.9160168,
207,596.1907799,397.3823008,-198.8084791
208,858.5483198,310.6394245,
209,851.9078796,69.42841848,
210,830.9617152,275.1890938,
211,869.478911,491.9550663,-377.5238447
212,924.7971932,104.3271988,
213,749.7579481,279.7063367,
214,1007.950878,453.1191605,-554.8317175
215,832.0648969,257.963002,
216,908.8111528,274.0143511,
217,1000.631477,31.18624842,
218,773.8851957,27.15812796,
219,860.9216679,279.2490392,
220,715.5227685,203.3034322,
221,768.8799926,34.30339425,
222,960.6359283,140.9899595,
223,913.5786719,116.4013316,
224,793.9174323,225.14746,
225,919.745861,188.6146852,
226,865.2535071,375.7682814,-489.4852257
227,676.022114,381.2118055,-294.8103085
228,836.5557889,236.7094173,
229,1070.639714,219.2965556,
230,770.7059181,31.34324279,
231,691.291646,466.9178186,-224.3738274
232,954.0426177,516.9241561,-437.1184616
233,859.9256586,290.5117267,
234,785.4122206,455.8256227,-329.5865979
235,829.4056232,429.788984,-399.6166392
236,939.0035742,284.6899648,
237,941.0867023,453.4099577,-487.6767446
238,986.2020742,294.406891,
239,913.8671342,226.2562511,
240,917.0678828,104.1775966,
241,920.3068878,504.5710992,-415.7357886
242,918.8559584,193.6743517,
243,952.5823471,509.0245755,-443.5577716
244,764.8690964,41.82177052,
245,954.6010879,65.66889452,
246,764.6256225,509.1645827,-255.4610398
247,893.4406582,549.4861577,-343.9545005
248,685.5393911,209.3748255,
249,884.9365827,91.05220625,
250,721.140797,90.8875753,
251,835.6795766,241.8316846,
252,1024.633355,216.6776997,
253,881.1098331,551.0627494,-330.0470837
254,906.5293532,367.4488182,-539.080535
255,946.297435,537.2408598,-409.0565752
256,764.878159,181.3202072,
257,1078.195132,29.54608264,
258,912.9920684,138.1108939,
259,1022.358969,235.6076169,
260,873.9103569,197.3261048,
261,846.1282374,448.4002551,-397.7279823
262,824.2825801,91.66238226,
263,832.8787481,252.3717685,
264,987.9469044,265.5123349,
265,999.081563,71.15147196,
266,979.6875213,171.2558371,
267,812.5266596,34.21535399,
268,706.1889216,241.8514588,
269,940.248573,266.3803672,
270,782.1550981,270.5551291,
271,754.137457,66.20149222,
272,988.5371447,88.64263137,
273,827.9138613,307.8628063,
274,726.3791722,106.2382614,
275,859.145962,300.839871,
276,792.5154993,201.8664151,
277,939.7902434,155.3407279,
278,927.6866055,364.8472011,-562.8394044
279,969.2071913,536.1385213,-433.06867
280,1033.679877,92.26664009,
281,860.0922069,414.7508439,-445.341363
282,772.301103,29.06907349,
283,993.020155,242.8101178,
284,814.2110394,332.1517596,
285,629.7831516,254.8469866,
286,945.2687256,217.9166144,
287,922.2827874,384.9937206,-537.2890668
288,758.7434768,55.14677113,
289,909.3025253,267.9993838,
290,1030.676262,154.8382015,
291,865.7980653,553.2552383,-312.542827
292,848.9555417,385.8031814,-463.1523603
293,747.8035702,307.6156415,
294,953.0019538,129.9368537,
295,958.0111277,137.088188,
296,911.6694528,244.0852479,
297,982.5214151,175.9312656,
298,1006.731405,116.2417623,
299,1028.82766,187.9209078,
300,822.4848711,386.8041948,-435.6806763
301,794.6687239,509.799176,-284.8695479
302,841.5540568,211.2655756,
303,1129.259785,120.564313,
304,781.0895155,417.7711369,-363.3183786
305,976.894982,166.677042,
306,988.8348959,254.5348803,
307,890.9319398,97.56892636,
308,790.6753626,246.1315775,
309,1001.998708,106.781166,
310,916.4165938,208.574388,
311,898.1508744,124.7491798,
312,950.6470051,181.6905508,
313,961.2013802,536.4076417,-424.7937385
314,938.6937181,394.9148975,-543.7788206
315,1043.760839,58.48686533,
316,793.6620368,504.8086813,-288.8533555
317,991.2052312,230.2928323,
