OBJECTID,INPUT_FID,NEAR_FID,DISTANCE
1,0,0,1722.414651658462400
2,0,1,5492.134676297160700
3,0,2,8154.990282487024200
4,1,0,1285.966657581158400
5,1,1,5029.010284500494000
6,1,2,7689.631225276752000
7,2,0,1193.496657788126400
8,2,1,4928.894941772419800
9,2,2,7588.946007954466000
10,3,0,1377.887190914852000
11,3,1,5043.214231616104400
12,3,2,7694.873781120440100
13,4,0,813.044700601096450
14,4,1,4427.757500938169000
15,4,2,7080.742961497558100
16,5,0,1091.386845910600400
17,5,1,4742.843223474324100
18,5,2,7395.523410862460900
19,6,0,1424.014734883927300
20,6,1,5094.120934548753200
21,6,2,7745.985477311074600
22,7,0,1505.575551505157800
23,7,1,5204.636954690211500
24,7,2,7859.468269089868000
25,8,0,1266.556955139155000
26,8,1,5024.207711602914100
27,8,2,7686.355373233906900
28,9,0,1165.437175407068500
29,9,1,4922.351290312748500
30,9,2,7584.523801220296300
31,10,0,1215.650665232472200
32,10,1,4934.225238656848000
33,10,2,7592.522030012502900
34,11,0,1442.289229294124900
35,11,1,5206.024277519421000
36,11,2,7868.681440247721200
37,12,0,1198.662448389504100
38,12,1,4930.128067573298700
39,12,2,7589.775214746682700
40,13,0,1209.667818991858200
41,13,1,4932.775033017190300
42,13,2,7591.550981361440800
43,14,0,1276.943288560471500
44,14,1,5026.754286757556700
45,14,2,7688.094461964447900
46,15,0,1326.161020395994900
47,15,1,5039.363919914046200
48,15,2,7696.654735154083900
49,16,0,1184.028123177977000
50,16,1,4926.650923638817400
51,16,2,7587.432819543845700
52,17,0,1464.156206572797800
53,17,1,5192.944341842396200
54,17,2,7851.535189152668900
55,18,0,1271.413396327232200
56,18,1,5025.382506401681000
57,18,2,7687.155097617408500
58,19,0,1171.742651301882200
59,19,1,4923.772951527111200
60,19,2,7585.480424966419400
61,20,0,1274.166056882530500
62,20,1,4948.958267365172100
63,20,2,7602.413867902357200
64,21,0,1162.886956636840800
65,21,1,4921.996872896513200
66,21,2,7584.373542952741400
67,22,0,1179.705392231057900
68,22,1,4925.633882477989600
69,22,2,7586.744763981717400
70,23,0,736.435740625374020
71,23,1,4223.276183468390600
72,23,2,6870.631259837077800
73,24,0,1774.326732135055200
74,24,1,5520.941980487662500
75,24,2,8181.152305103152700
76,25,0,871.537968071377460
77,25,1,4525.951092457696200
78,25,2,7180.951871135106600
79,26,0,869.338293639797600
80,26,1,4480.623690112690400
81,26,2,7132.631895051693400
82,27,0,1168.394285937065900
83,27,1,4922.995886796113200
84,27,2,7584.949834886060700
85,28,0,1188.651451047610900
86,28,1,4927.743968382733300
87,28,2,7588.170652494710300
88,29,0,1175.550627612448100
89,29,1,4924.660690891796500
90,29,2,7586.084520432096700
91,30,0,786.649493507964050
92,30,1,4423.013833470387000
93,30,2,7077.695351508448800
94,31,0,1580.538607534209600
95,31,1,5263.723291418457800
96,31,2,7916.153868599500100
97,32,0,1204.025859103877800
98,32,1,4931.414584269163200
99,32,2,7590.638874250003900
100,33,0,1221.776534975103900
101,33,1,4935.717755747667100
102,33,2,7593.520150816276300
103,34,0,1228.188331597455800
104,34,1,4937.288621740111000
105,34,2,7594.569695205746900
106,35,0,1489.415554045978100
107,35,1,5200.035101163374700
108,35,2,7856.351131855280100
109,36,0,911.947534557887250
110,36,1,4489.044752226127500
111,36,2,7138.050981234901000
112,37,0,1549.915686768789600
113,37,1,5291.461289149725400
114,37,2,7951.395757689507300
115,38,0,1262.613741562238100
116,38,1,5023.485496360208300
117,38,2,7685.953256572423000
118,39,0,1616.975544275802100
119,39,1,3056.012656405418500
120,39,2,5584.438630069287700
121,40,0,1763.219203750817300
122,40,1,5469.539256888891000
123,40,2,8121.939817059180300
124,41,0,702.595301174545510
125,41,1,3345.376313741491700
126,41,2,5988.958941318966900
127,42,0,758.859974440038060
128,42,1,3027.830531542822900
129,42,2,5690.113938421423000
130,43,0,1221.724341421605700
131,43,1,4843.849007966086900
132,43,2,7489.636543782055000
133,44,0,2067.866363876124100
134,44,1,3315.094315756066400
135,44,2,5728.182079588186800
136,45,0,542.352582486851930
137,45,1,3315.126586109559000
138,45,2,5974.098114757533000
139,46,0,1565.585560318606000
140,46,1,2821.489033660853700
141,46,2,5381.127415042818000
142,47,0,2134.123244309567800
143,47,1,4263.711885027323700
144,47,2,6698.627227323165200
145,48,0,1136.596874838563300
146,48,1,4364.207603781788700
147,48,2,6977.774580301740600
148,49,0,575.158395757758170
149,49,1,4012.106900512689200
150,49,2,6662.240559620495300
151,50,0,1202.252603070477100
152,50,1,4704.745918426342500
153,50,2,7338.672392606361400
154,51,0,915.007975695819710
155,51,1,2887.535733477907300
156,51,2,5546.726051675187600
157,52,0,1972.674092773249900
158,52,1,3001.974450505747400
159,52,2,5451.313859810874400
160,53,0,479.225271500728470
161,53,1,3422.724316663154200
162,53,2,6078.969028219989900
163,54,0,1834.803403535517600
164,54,1,2832.357900082114200
165,54,2,5329.772730025637400
166,55,0,1771.382647898596600
167,55,1,5458.553268556369400
168,55,2,8107.913924999372300
169,56,0,420.656632231533540
170,56,1,4140.959955975731600
171,56,2,6802.662808605379700
172,57,0,1398.027016359120100
173,57,1,3386.464249190732100
174,57,2,5940.130456408953300
175,58,0,1746.205704590812000
176,58,1,5280.697528157888000
177,58,2,7907.583205564655100
178,59,0,1033.270589439686800
179,59,1,4679.374954473275500
180,59,2,7329.796342931627800
181,60,0,1208.173100827682200
182,60,1,2639.306568883219800
183,60,2,5289.740075414581000
184,61,0,2017.008277298665200
185,61,1,5556.500849955862600
186,61,2,8179.651019647358200
187,62,0,405.810531210552370
188,62,1,3993.752983108119700
189,62,2,6650.127737735833800
190,63,0,334.645042556701920
191,63,1,3985.286110639508000
192,63,2,6645.707359283560400
193,64,0,1236.519615012416100
194,64,1,2988.640969001484300
195,64,2,5592.077684981592900
196,65,0,967.161735059579430
197,65,1,3800.100183103949300
198,65,2,6409.803584709677100
199,66,0,270.074784458039520
200,66,1,3981.891020980054700
201,66,2,6643.272497436368200
202,67,0,1290.700584265158800
203,67,1,4081.009110734168200
204,67,2,6658.584922503642700
205,68,0,2292.065597176982900
206,68,1,2963.049991685745700
207,68,2,5324.590653405630300
208,69,0,974.101772877585740
209,69,1,2804.279246851083800
210,69,2,5466.460909968102900
211,70,0,979.543282986661550
212,70,1,4271.736990366492100
213,70,2,6896.816583163756100
214,71,0,1872.510624587060000
215,71,1,2857.008566125788500
216,71,2,5342.791224437368300
217,72,0,2852.652619863592000
218,72,1,2975.641225606734700
219,72,2,5140.919873640148600
220,73,0,1094.041731810836600
221,73,1,3728.613814636625600
