FID,distance(m),nearest station
0,524.9919859,0
1,391.9626374,0
2,363.7777814,0
3,419.9800158,0
4,247.8160247,0
5,332.6547107,0
6,434.0396912,0
7,458.8994282,0
8,386.0465599,0
9,355.2252509,0
10,370.5303227,0
11,439.609757,0
12,365.3523142,0
13,368.7067512,0
14,389.2123145,0
15,404.2138789,0
16,360.8917719,0
17,446.2748119,0
18,387.5268031,0
19,357.14716,0
20,388.3658142,0
21,354.4479445,0
22,359.5742035,0
23,224.4656137,0
24,540.8147879,0
25,265.6447727,0
26,264.9743119,0
27,356.1265784,0
28,362.3009623,0
29,358.3078314,0
30,239.7707656,0
31,481.7481677,0
32,366.9870818,0
33,372.3974879,0
34,374.3518036,0
35,453.9738609,0
36,277.9616085,0
37,472.4143014,0
38,384.8446686,0
39,492.8541458,0
40,537.4292134,0
41,214.1510478,0
42,231.3005202,0
43,372.3815791,0
44,630.2856677,0
45,165.3090671,0
46,477.1904787,0
47,650.4807648,0
48,346.4347275,0
49,175.308279,0
50,366.4465934,0
51,278.894431,0
52,601.2710635,0
53,146.0678628,0
54,559.2480775,0
55,539.9174311,0
56,128.2161415,0
57,426.1186345,0
58,532.2434989,0
59,314.9408755,0
60,368.2511612,0
61,614.7841228,0
62,123.6910499,0
63,101.999809,0
64,376.8911787,0
65,294.7908969,0
66,82.31879432,0
67,393.405538,0
68,698.621594,0
69,296.9062204,0
70,298.5647927,0
71,570.7412385,0
72,869.4885186,0
73,333.4639199,0
74,82.84501539,0
75,369.168682,0
76,341.0649394,0
77,266.9943702,0
78,325.7095019,0
79,570.1703966,0
80,296.243878,0
81,555.1534611,0
82,568.9264188,0
83,650.840786,0
84,576.5485143,0
85,328.8347641,0
86,87.62912913,0
87,304.606148,0
88,822.57906,0
89,469.8878179,0
90,498.3448877,0
91,283.7237468,0
92,503.1122331,0
93,65.46599702,0
94,625.4749621,0
95,562.0700452,0
96,393.2584004,0
97,385.496277,0
98,233.9382199,0
99,510.796627,0
100,795.2735331,0
101,558.4212338,0
102,440.729616,0
103,94.55588149,0
104,625.0173896,0
105,605.6068719,0
106,365.6995265,0
107,594.9703428,0
108,70.61065743,0
109,643.5252282,0
110,272.2564237,0
111,406.247787,0
112,465.6379125,0
113,443.4445601,0
114,258.9289568,0
115,464.9448857,0
116,363.1312289,0
117,128.3802478,0
118,683.0967084,0
119,620.4064173,0
120,140.9261541,0
121,321.0741638,0
122,819.0725238,0
123,550.9515739,0
124,510.5371577,0
125,490.2954638,0
126,56.14781876,0
127,241.6962144,0
128,152.1274155,0
129,798.432513,1
130,371.1922697,0
131,406.8151137,0
132,267.2484395,0
133,871.3802802,1
134,604.2625106,0
135,723.6654296,0
136,209.7863928,0
137,403.2747547,0
138,236.7563546,0
139,422.938557,0
140,317.5838768,0
141,173.3385023,0
142,544.4967884,0
143,287.0991964,0
144,640.3548817,0
145,161.032197,0
146,596.1384074,0
147,246.4565447,0
148,204.5605561,0
149,293.1250974,0
150,618.0842458,0
151,525.0441875,0
152,528.7471375,0
153,557.962557,0
154,143.7326073,0
155,797.5830226,0
156,275.6479286,0
157,56.86083633,0
158,228.9718916,0
159,215.0709264,0
160,435.1488048,0
161,270.4314622,0
162,251.5153941,0
163,484.387825,0
164,495.4612365,0
165,280.8221511,0
166,268.6377613,0
167,630.2619635,0
168,353.590219,0
169,126.6522775,0
170,400.7943195,0
171,161.3888737,0
172,110.4524642,0
173,514.8707996,0
174,624.0439837,0
175,212.8397237,0
176,558.6254906,0
177,434.8168812,0
178,557.5916965,0
179,559.9072338,0
180,419.2835256,0
181,156.41451,0
182,440.9293996,0
183,354.531143,0
184,836.5820378,1
185,348.5265876,0
186,241.6677942,0
187,515.8140812,0
188,336.1238723,0
189,160.9789311,0
190,326.1345391,0
191,275.4734948,0
192,151.1334705,0
193,316.7716278,0
194,384.5366956,0
195,205.1932506,0
196,288.6210258,0
197,627.987537,0
198,336.5354054,0
199,406.8003379,0
200,654.1295277,0
201,635.5116131,0
202,372.9430686,0
203,364.8693622,0
204,467.1554038,0
205,287.8890128,0
206,251.7549318,0
207,521.812038,0
208,275.8618894,0
209,437.2054925,0
210,712.8916621,0
211,123.2223027,0
212,668.4885338,0
213,158.1719542,0
214,518.6073565,0
215,76.03808862,0
216,281.703424,0
217,487.8365306,0
218,542.0864373,0
219,153.9595596,0
220,108.3559305,0
221,167.1149023,0
222,38.98311755,0
223,93.83178639,0
224,271.7552919,0
225,79.30007511,0
226,298.0000602,0
