OBJECTID,INPUT_FID,NEAR_FID,DISTANCE
1,0,0,3285.303959491113800
2,0,1,6526.680379687353700
3,0,2,9070.129685859459600
4,1,0,3614.906307455160900
5,1,1,7048.892296206410700
6,1,2,9630.615375380191800
7,2,0,3438.227193267245200
8,2,1,6581.442204131534700
9,2,2,9098.008477779416400
10,3,0,3331.109494020382000
11,3,1,6526.168179323524800
12,3,2,9057.875175829816700
13,4,0,3564.477779696624600
14,4,1,6794.667182306222500
15,4,2,9328.089496754168100
16,5,0,3418.269545216978300
17,5,1,6806.883126592774700
18,5,2,9381.097404842112200
19,6,0,3459.717617266098400
20,6,1,6751.052335597834800
21,6,2,9301.582747904793000
22,7,0,3681.000875710111400
23,7,1,7138.814775545542000
24,7,2,9725.417784970763000
25,8,0,3929.182651651698100
26,8,1,7215.219954887006700
27,8,2,9753.894101607969800
28,9,0,3551.186384940564500
29,9,1,7016.475896991707500
30,9,2,9606.752773697662600
31,10,0,3323.842491466447900
32,10,1,6355.008049842953400
33,10,2,8850.137028759874700
34,11,0,3297.407907729972100
35,11,1,6512.789988099079900
36,11,2,9050.059239136524400
37,12,0,3779.719152302242000
38,12,1,6989.052636444088400
39,12,2,9511.748886098037500
40,13,0,3658.949351337139000
41,13,1,7127.379120276391400
42,13,2,9716.915120050209200
43,14,0,3427.187715183809400
44,14,1,6665.398201606933100
45,14,2,9204.323963667171500
46,15,0,3575.508158543996600
47,15,1,7028.733659055272300
48,15,2,9615.738349703460700
49,16,0,3626.353665951908200
50,16,1,6913.464887361135900
51,16,2,9459.127082236080200
52,17,0,3410.743298028750800
53,17,1,6487.001170216970400
54,17,2,8989.078295719469700
55,18,0,3887.085363932447800
56,18,1,7328.282709501222600
57,18,2,9907.741245184826800
58,19,0,3752.474781734080800
59,19,1,7175.769203146445800
60,19,2,9752.697875547302800
61,20,0,4254.845927338956200
62,20,1,7580.925179477674600
63,20,2,10123.767168509112000
64,21,0,3842.951923304227000
65,21,1,7305.003032425639500
66,21,2,9890.424575330231200
67,22,0,3176.119923572166500
68,22,1,6294.665436300113500
69,22,2,8814.423751263007900
70,23,0,4198.641341858173300
71,23,1,7549.378510505891400
72,23,2,10099.947889520179000
73,24,0,3443.309492003792500
74,24,1,6533.902405410475700
75,24,2,9038.132957440277100
76,25,0,3473.626637361065100
77,25,1,6689.318558828173100
78,25,2,9221.734378909575800
79,26,0,3371.920704377926500
80,26,1,6632.963093559465100
81,26,2,9178.602759231693200
82,27,0,3652.469845693277900
83,27,1,6820.124565013491500
84,27,2,9336.018049269750900
85,28,0,3540.309185866439300
86,28,1,6782.058954799137600
87,28,2,9318.871141069726900
88,29,0,3601.999528520296700
89,29,1,7042.460003592782400
90,29,2,9625.962533522722900
91,30,0,3239.248853264389700
92,30,1,6419.309307703415500
93,30,2,8950.430028104849000
94,31,0,3695.176758714835600
95,31,1,6877.730547594709600
96,31,2,9396.057380164918900
97,32,0,3485.219755218879500
98,32,1,6897.324542769335500
99,32,2,9475.888319554334900
100,33,0,3292.779903781618500
101,33,1,6446.463653296631500
102,33,2,8970.039531077405600
103,34,0,3311.468447468501800
104,34,1,6516.271227091105200
105,34,2,9050.753793121837600
106,35,0,3911.383140533409900
107,35,1,7393.638515810304900
108,35,2,9983.362327368688100
109,36,0,3475.765200243859900
110,36,1,6748.698257482215900
111,36,2,9294.515989174171400
112,37,0,3270.049298399673700
113,37,1,6506.479126524042800
114,37,2,9049.235546885956900
115,38,0,3590.546687560712100
116,38,1,6808.337153846238800
117,38,2,9338.092603180426500
118,39,0,3813.210026800422400
119,39,1,7064.427599179121900
120,39,2,9596.827388663192300
121,40,0,3401.579468139939800
122,40,1,6562.506395756723600
123,40,2,9084.303033233263700
124,41,0,3510.391166945721600
125,41,1,6711.037502803075800
126,41,2,9238.891256421406100
127,42,0,3487.136973919023100
128,42,1,6692.909694733513800
129,42,2,9222.621916295860500
130,43,0,3557.117260473017700
131,43,1,6941.229716935505200
132,43,2,9511.821643283596100
133,44,0,3765.124507967524600
134,44,1,7264.423717802968900
135,44,2,9860.287810992978800
136,45,0,3322.966811854884800
137,45,1,6461.774995757344200
138,45,2,8981.039119826526100
139,46,0,3489.098552806244700
140,46,1,6755.551947283884100
141,46,2,9299.514957055609600
142,47,0,3642.595024964049100
143,47,1,6921.960927185075900
144,47,2,9465.359878041703300
145,48,0,3841.693366942767600
146,48,1,7191.589025567604000
147,48,2,9748.418872755241000
148,49,0,3436.676659973634300
149,49,1,6721.772481357828800
150,49,2,9271.386405823273900
151,50,0,3818.926836018105000
152,50,1,7292.210611986889500
153,50,2,9880.814825280067500
154,51,0,3364.542528507926400
155,51,1,6483.438572623647800
156,51,2,8996.828154336308200
157,52,0,3266.942610261291100
158,52,1,6340.795916101914400
159,52,2,8847.542424514116600
160,53,0,3623.547327904926500
161,53,1,6825.746005134344200
162,53,2,9350.844383938028800
163,54,0,3658.957988966192300
164,54,1,6930.548881790608900
165,54,2,9471.663559521872200
166,55,0,3440.165963724122800
167,55,1,6672.057785765585300
168,55,2,9209.167669026583100
169,56,0,3610.784771682640000
170,56,1,6905.346913866543200
171,56,2,9453.174776964060600
172,57,0,3221.928017843428300
173,57,1,6410.464666808070400
