FID,ddd,dist
6151,58.48948007,17.82759353
5963,65.83543211,20.06663971
524,78.12932812,23.81381921
173,78.78783949,24.01453348
1065,79.2012586,24.14054362
421,81.40058566,24.81089851
5796,83.91007327,25.57579033
362,84.53245683,25.76549284
5618,86.17912831,26.26739831
5775,86.51168878,26.36876274
3374,88.93877744,27.10853936
385,89.09506828,27.15617681
218,89.10146967,27.15812796
5636,92.49631794,28.19287771
2342,94.51653946,28.80864123
282,95.37097601,29.06907349
257,96.93596666,29.54608264
6209,97.65237641,29.76444433
183,100.2663213,30.56117474
3093,101.5097779,30.9401803
217,102.317088,31.18624841
230,102.8321614,31.34324279
4414,104.2797292,31.78446146
5583,108.2283207,32.98799215
3307,108.3826371,33.03502778
4734,109.2536588,33.30051519
3954,110.2782916,33.61282327
6175,111.4282443,33.96332886
267,112.2550984,34.21535398
221,112.5439444,34.30339425
5903,113.896229,34.71557059
5750,116.8145196,35.60506558
5638,118.017462,35.97172242
5667,118.2117524,36.03094213
4163,119.3005245,36.36279988
2036,121.3362047,36.9832752
3621,121.7183922,37.09976594
2961,122.1873455,37.2427029
6118,123.2063183,37.55328581
529,124.2832047,37.8815208
145,124.6684579,37.99894596
1943,127.8973673,38.98311754
3552,130.8059842,39.869664
5556,131.0602375,39.9471604
5873,131.5514891,40.09689386
4487,131.5877521,40.10794684
5637,133.8378504,40.7937768
5195,135.3606061,41.25791273
3067,136.0003335,41.45290166
383,137.1004048,41.78820337
244,137.2105332,41.82177052
2451,137.2367405,41.82975851
5883,137.6691034,41.96154272
448,138.1219034,42.09955617
4657,139.200331,42.42826088
3060,139.2553464,42.4450296
815,141.4000247,43.09872754
5552,144.2860395,43.97838484
6034,149.928344,45.69815926
2943,150.2772821,45.80451559
517,151.393107,46.14461901
5836,153.0571758,46.65182717
6083,154.0111908,46.94261097
5946,154.951083,47.22909011
6007,155.7235335,47.464533
350,157.4650166,47.99533706
5835,157.9818769,48.15287608
5812,158.3395963,48.26190896
2885,159.1384595,48.50540247
370,160.0577197,48.78559296
5582,161.8343341,49.32710502
3619,161.8627894,49.33577821
4543,162.4581534,49.51724517
2152,162.9025891,49.65270916
2646,163.7719336,49.91768537
5899,164.1497122,50.03283229
2075,164.7841558,50.2262107
4858,165.8265445,50.54393076
3406,167.1839192,50.95765858
569,167.8725588,51.16755592
324,168.6870456,51.41581149
2089,170.0281894,51.82459211
4070,170.7823577,52.05446262
2291,171.3756574,52.23530039
3868,171.4852222,52.26869573
5919,173.4021016,52.85296056
5947,174.1999303,53.09613875
3013,175.8222941,53.59063525
5798,175.9407849,53.62675124
3521,180.0441512,54.87745729
2205,180.8358038,55.11875301
400,180.9107939,55.14160998
288,180.9277268,55.14677114
148,181.0159556,55.17366326
5570,181.1829043,55.22454924
5518,182.6242326,55.66386611
403,183.3323104,55.87968822
1838,184.2120038,56.14781877
1128,184.5593209,56.25368102
6244,184.8570223,56.3444204
1875,186.5513003,56.86083632
4048,187.484144,57.14516708
5749,188.5614403,57.473527
414,188.8377682,57.55775175
1247,189.441329,57.74171709
6210,189.7521091,57.83644286
3311,190.2435051,57.98622034
5701,191.4979285,58.36856861
3470,191.6816818,58.42457662
812,191.8240839,58.46798078
315,191.8860411,58.48686532
1110,192.2471688,58.59693704
5122,192.2774356,58.60616239
393,192.3399454,58.62521536
836,192.862778,58.78457472
5677,193.7553256,59.05662324
5580,194.1283837,59.17033135
4748,194.2617898,59.21099353
5950,194.5405677,59.29596505
372,194.5565808,59.30084582
357,195.5154902,59.59312142
634,195.7485088,59.66414549
852,195.8836524,59.70533725
5852,196.5669604,59.91360954
5816,197.881729,60.314351
408,198.4984974,60.50234202
3068,198.8659385,60.61433805
493,198.9400371,60.6369233
361,199.1251785,60.69335442
2605,200.0703935,60.98145595
3638,200.5156581,61.11717259
1964,200.7664786,61.19362268
5849,200.8355504,61.21467576
5620,202.1450613,61.61381469
1014,202.710781,61.78624606
2730,203.4060722,61.9981708
5579,204.6478164,62.37665445
473,205.1498011,62.52965938
3757,205.4284131,62.6145803
4165,205.5560054,62.65347045
5771,206.8107721,63.03592333
1980,208.2186097,63.46503225
6185,209.1357466,63.74457556
4991,209.5835469,63.88106509
5672,209.6118696,63.88969784
3485,209.9822077,64.00257689
111,210.2977181,64.09874449
522,210.7405948,64.2337333
3887,211.0868045,64.339258
731,211.3645644,64.42391922
3169,213.5544205,65.09138737
376,213.7047704,65.13721402
3163,214.2264065,65.2962087
3680,214.6493799,65.425131
6166,214.7564374,65.4577621
1800,214.7834548,65.46599702
154,215.0795131,65.55623559
4595,215.1956418,65.59163163
245,215.449129,65.66889453
5569,215.7489068,65.76026679
2742,216.0513764,65.85245952
2127,216.1375923,65.87873814
271,217.1964968,66.20149222
5526,217.2618283,66.22140527
3158,217.5886048,66.32100675
1010,217.8139671,66.38969717
5804,220.9895054,67.35760124
6090,221.5242914,67.52060403
4164,221.6827025,67.56888773
3390,222.5332185,67.82812501
192,222.6525927,67.86451027
687,222.7012443,67.87933927
3379,223.0637265,67.98982385
780,224.9817361,68.57443317
456,225.1224718,68.61732941
115,226.3811755,69.00098229
3461,226.5883469,69.06412813
462,226.6034305,69.06872563
209,227.7835252,69.42841849
5932,228.4681152,69.63708153
5808,229.5412575,69.96417527
5697,229.8956733,70.07220122
2690,231.4648754,70.55049401
1820,231.6622619,70.61065743
6085,231.7387257,70.63396359
2056,232.1810346,70.76877935
5741,232.3916862,70.83298597
2557,233.3544306,71.12643044
265,233.4365878,71.15147195
455,233.5604486,71.18922474
922,234.7022814,71.53725538
6076,234.7264095,71.5446096
1087,235.3245259,71.72691549
1127,235.4488907,71.76482187
4596,237.7330221,72.46102513
3830,237.9186384,72.51760099
437,238.298045,72.63324412
6108,238.5810938,72.71951738
2134,239.3583546,72.95642649
4614,240.3090042,73.24618448
328,240.8728297,73.41803848
2936,242.0530689,73.7777754
857,242.0828579,73.78685509
3631,242.5709412,73.93562288
353,243.4594452,74.20643888
6005,243.8256681,74.31806365
5535,244.0813703,74.39600167
3789,244.2860367,74.45838398
5807,244.5146586,74.52806795
5859,244.5423801,74.53651745
401,245.328785,74.77621367
5868,245.8325418,74.92975874
2809,246.2708391,75.06335175
5936,247.2966191,75.37600949
3312,247.8150262,75.53401999
3742,249.0684684,75.91606916
670,249.3617814,76.00547097
1166,249.3908636,76.01433522
1936,249.4687947,76.03808862
474,250.9052497,76.47592012
5695,252.1328483,76.85009218
3500,252.6940336,77.02114145
5674,253.0134894,77.11851158
3130,253.1115114,77.14838867
967,253.2723993,77.1974273
2176,253.7678305,77.34843475
120,253.9177585,77.39413281
436,254.2661291,77.50031614
4272,255.6590835,77.92488864
189,256.0367512,78.04000175
550,256.1885038,78.08625596
4493,256.3957468,78.14942362
5521,256.6153545,78.21636004
4865,256.8370362,78.28392864
6071,257.3241981,78.43241558
2501,257.5214707,78.49254425
3516,257.9202503,78.61409229
5788,259.3460318,79.04867049
1949,260.1708501,79.30007512
3591,260.4722543,79.3919431
2745,260.6567353,79.44817293
2440,261.202521,79.61452839
983,261.7676023,79.78676518
635,262.4720396,80.00147768
895,263.7500636,80.39101938
5071,263.8222555,80.41302346
6039,263.8685926,80.42714701
5829,264.0374577,80.47861712
1219,264.0595066,80.48533763
195,264.0662677,80.4873984
131,264.352064,80.57450911
6144,264.7586814,80.69844609
6033,264.9633278,80.76082231
3337,265.5200724,80.93051807
719,267.1048333,81.4135532
6026,267.1901325,81.4395524
3080,267.2165075,81.44759149
5972,268.333933,81.78818279
2320,269.0175633,81.99655331
1768,270.0747845,82.3187943
2008,270.5251937,82.45607904
544,270.5866825,82.47482083
4951,270.9457137,82.58425353
5764,271.0578626,82.61843653
651,271.1660971,82.65142639
3036,271.2502039,82.67706214
1777,271.8012316,82.8450154
2673,271.9929835,82.90346138
822,272.4078781,83.02992125
159,272.585638,83.08410246
135,273.0256315,83.21821248
6097,273.4876774,83.35904406
5813,273.7199969,83.42985505
5565,275.7518649,84.04916841
2148,275.9942566,84.12304943
520,276.151096,84.17085406
523,276.2383068,84.1974359
3862,277.2594782,84.50868895
3194,278.4453658,84.87014749
424,278.6065293,84.91927012
579,278.7029826,84.94866911
2337,278.9655755,85.02870741
3017,279.0717115,85.06105767
5662,279.19992,85.10013562
196,279.5311172,85.20108454
5875,279.806184,85.28492489
739,279.9660519,85.33365262
3092,280.2133311,85.40902333
5549,280.3961193,85.46473717
5704,280.6116487,85.53043052
5897,281.3486727,85.75507545
5725,281.6957438,85.86086271
4168,282.337995,86.05662089
915,283.725696,86.47959213
6226,283.9554644,86.54962554
1967,284.6690469,86.76712551
659,284.8994737,86.83735958
3490,286.3145238,87.26866685
3048,286.646627,87.36989192
1790,287.4971428,87.62912913
126,287.8782201,87.7452815
468,288.4309378,87.91374984
5828,288.4957275,87.93349774
20,288.8830867,88.05156484
6051,289.2881063,88.1750148
104,290.640787,88.58731189
272,290.8222814,88.64263138
863,291.2850968,88.78369752
2315,291.6166532,88.88475589
6106,291.8022932,88.94133895
4200,293.1687009,89.35782004
1960,294.6712434,89.81579498
6232,294.7590676,89.84256379
5567,295.0726687,89.93814942
3148,295.1118429,89.95008972
5791,295.2769299,90.00040822
5687,295.3527532,90.02351917
5215,295.5000292,90.0684089
2683,296.0956821,90.2499639
6087,296.4830631,90.36803762
653,296.530965,90.38263812
351,296.5792565,90.39735737
4771,296.9459462,90.50912441
6020,297.0518452,90.54140242
3751,297.0801701,90.55003586
402,297.6650164,90.728297
2302,297.8156586,90.77421273
250,298.187583,90.8875753
1194,298.4418074,90.96506288
5659,298.4782757,90.97617843
249,298.7277108,91.05220626
5888,298.7651027,91.0636033
5663,299.3130402,91.23061467
467,299.3516563,91.24238483
1066,299.5964696,91.31700395
2776,299.7853609,91.37457799
3663,300.2757139,91.5240376
262,300.7296006,91.66238226
280,302.7120738,92.2666401
5624,303.1274597,92.39324971
2345,303.5694786,92.52797707
2306,304.2216194,92.7267496
3531,304.4298416,92.79021571
5926,304.974267,92.95615658
5943,305.1180258,92.99997427
3187,305.1649693,93.01428264
5590,305.4658705,93.10599732
6032,305.6600205,93.16517424
1062,307.1205045,93.61032976
5693,307.7791081,93.81107215
1944,307.8470682,93.83178639
5706,308.3096699,93.97278739
6220,308.8956888,94.15140594
3987,308.9536575,94.16907481
742,309.0027596,94.18404111
6016,309.9002105,94.45758417
137,310.0604666,94.50643023
6165,310.1246418,94.52599082
1814,310.2227083,94.55588149
4502,311.0583831,94.81059518
5009,311.143009,94.83638914
122,311.1927955,94.85156408
889,311.2774527,94.8773676
6189,311.309887,94.88725357
5884,311.9675319,95.08770372
2613,313.434904,95.53495875
5765,313.7455823,95.62965348
5982,314.0686766,95.72813264
3202,314.1336306,95.74793062
6000,314.4831777,95.85447255
491,315.5006301,96.16459204
454,315.8498368,96.27103027
950,316.3098138,96.41123123
487,317.1472546,96.6664832
379,317.22574,96.69040556
5882,317.3955949,96.74217734
525,317.6502432,96.81979412
5802,318.4540845,97.06480496
307,320.1080261,97.56892635
5684,320.1811455,97.59121315
656,320.2854543,97.62300646
6231,320.9342415,97.82075682
600,321.258793,97.9196801
1975,321.6052793,98.02528913
5678,322.5824827,98.32314074
5986,322.6524172,98.34445677
5917,322.6627855,98.34761702
6011,322.7869746,98.38546985
800,323.2525523,98.52737795
5891,323.5210764,98.60922409
3919,323.5819426,98.6277761
5548,324.9016119,99.03001132
980,325.0303574,99.06925295
878,325.7895585,99.30065744
5610,326.3174236,99.46155072
4782,327.7500376,99.89821146
2642,327.7917503,99.91092549
5949,327.8111216,99.91682985
2514,328.2195303,100.0413128
2986,328.3330269,100.0759066
5964,328.5603154,100.1451841
1227,329.0892926,100.3064164
511,329.1317645,100.3193618
5705,329.2999799,100.3706339
3902,329.4426407,100.4141169
5632,330.0187021,100.5897004
6195,330.2432436,100.6581406
4033,330.598236,100.7663423
4523,331.0601634,100.9071378
5985,331.0772085,100.9123332
200,331.5394945,101.0532379
4766,331.5532134,101.0574195
6236,331.8752634,101.1555803
5732,332.2432094,101.2677302
1032,332.6531063,101.3926668
746,332.6993942,101.4067754
1084,332.8623784,101.4564529
5818,333.5100371,101.6538593
5329,334.433459,101.9353183
1765,334.6450426,101.999809
128,335.7093811,102.3242194
807,336.0180659,102.4183065
4935,336.3751483,102.5271452
2244,336.6570509,102.6130691
2168,337.0273415,102.7259337
681,337.2318504,102.788268
6135,338.2947798,103.1122489
331,339.5286659,103.4883374
1171,339.7260649,103.5485046
121,340.005705,103.6337389
5753,340.0181012,103.6375173
4814,340.3049705,103.724955
409,340.361665,103.7422355
425,340.4108687,103.7572328
6114,340.5126812,103.7882652
5661,340.6478987,103.8294795
584,340.7289835,103.8541942
5740,340.8086955,103.8784904
2619,341.7327321,104.1601367
240,341.790015,104.1775966
574,342.1038146,104.2732427
5815,342.2586169,104.3204264
212,342.2808359,104.3271988
6141,342.6474163,104.4389325
1077,342.9196435,104.5219073
2529,343.5964781,104.7282065
6127,344.6646735,105.0537925
416,344.8778127,105.1187573
5558,344.9683576,105.1463554
691,345.0987926,105.186112
3332,346.1488328,105.5061642
346,346.6085538,105.6462872
2214,347.1202811,105.8022617
3342,347.535892,105.9289399
5995,347.6231221,105.9555276
541,347.9052136,106.0415091
913,348.0166354,106.0754705
274,348.5507264,106.2382614
5853,348.5628941,106.2419701
610,348.6471478,106.2676507
327,348.7020972,106.2843992
5755,348.989785,106.3720865
358,349.1349571,106.4163349
3968,349.2761231,106.4593623
555,349.2840031,106.4617641
5799,349.3018371,106.4671999
601,349.5141811,106.5319224
644,349.7127297,106.59244
5728,350.0065934,106.6820097
5554,350.2897974,106.7683303
309,350.3319095,106.781166
2522,350.7539772,106.9098122
3913,351.0152727,106.9894551
123,351.0613978,107.0035141
4035,351.0628029,107.0039423
6208,351.6137888,107.1718828
3696,351.8306798,107.2379912
4449,352.3953613,107.4101061
5488,352.8944439,107.5622265
926,353.4128657,107.7202415
663,353.7504233,107.823129
557,354.0697067,107.9204466
478,354.3611063,108.0092652
633,354.542588,108.0645808
693,354.6041794,108.0833539
3009,354.9574999,108.191046
1941,355.4984596,108.3559305
3020,355.675834,108.4099942
2620,356.7326078,108.7320989
5578,356.744,108.7355712
767,356.9517119,108.7988818
504,357.3550143,108.9218084
623,357.4358182,108.9464374
3703,357.4364604,108.9466331
6124,357.6934087,109.024951
450,357.785123,109.0529055
5587,358.0996261,109.148766
901,358.7403892,109.3440706
2698,358.7594054,109.3498668
3340,359.9823962,109.7226344
186,360.4078027,109.8522983
945,360.8681023,109.9925976
447,360.9732535,110.0246477
6069,361.4301401,110.1639067
158,361.9739437,110.329658
5029,362.1649538,110.3878779
2300,362.2570279,110.4159421
1891,362.3768512,110.4524643
3466,362.4565388,110.476753
415,362.7311899,110.5604667
5872,362.9151681,110.6165432
1075,363.474551,110.7870432
5611,363.6175651,110.8306338
3985,363.8748792,110.9090632
5377,364.2528421,111.0242663
452,364.3924477,111.0668181
2416,364.8828114,111.2162809
3820,365.0741814,111.2746105
387,365.2400836,111.3251775
5823,365.6837727,111.4604139
6218,366.028304,111.5654271
1020,366.0642567,111.5763854
1142,366.1844091,111.6130079
508,366.4084613,111.681299
706,366.5947927,111.7380928
820,367.0047592,111.8630506
3496,367.1487626,111.9069428
320,367.6457204,112.0584156
188,367.9585895,112.1537781
3326,368.7015506,112.3802326
2684,368.7230652,112.3867903
325,368.9707643,112.462289
535,369.3551292,112.5794434
3530,370.3390855,112.8793533
3103,370.5001437,112.9284438
3520,370.7449116,113.0030491
4800,370.7498089,113.0045417
3839,370.9282907,113.058943
4088,370.990244,113.0778264
4834,371.3789432,113.1963019
3297,371.394953,113.2011817
4997,371.531963,113.2429423
4498,371.966515,113.3753938
5939,372.8810047,113.6541302
643,373.3914527,113.8097148
642,373.4247223,113.8198553
5825,373.526052,113.8507407
3393,374.3254779,114.0944057
598,374.4187614,114.1228385
3611,375.7392064,114.5253101
764,375.8501923,114.5591386
3220,375.8967182,114.5733197
5958,375.9037822,114.5754728
6459,375.9506921,114.5897709
6201,376.0317366,114.6144733
906,376.1828505,114.6605328
5369,376.4011231,114.7270623
3665,376.4638438,114.7461796
4681,377.0060606,114.9114473
342,377.0065764,114.9116045
388,377.2036971,114.9716869
382,377.4954859,115.0606241
333,377.5452399,115.0757891
6178,377.94585,115.1978951
5920,378.6778192,115.4209993
23,378.7502764,115.4430842
417,378.8897488,115.4855954
6146,378.9218336,115.4953749
1050,379.0097078,115.5221589
2606,379.5321567,115.6814013
2863,379.6167233,115.7071773
505,380.1409243,115.8669537
6230,380.3556014,115.9323873
711,380.3979661,115.9453001
1953,380.4436641,115.9592288
1092,380.6906582,116.0345126
125,380.8563343,116.0850107
5513,381.0333192,116.1389557
3145,381.093282,116.1572323
298,381.3706112,116.2417623
476,381.6137773,116.3158793
5785,381.7958656,116.3713798
223,381.8941324,116.4013316
3869,382.3232258,116.5321192
611,382.374004,116.5475964
2051,383.2629383,116.8185436
2157,383.3150778,116.8344357
3535,383.5306941,116.9001556
3493,383.7121216,116.9554547
112,384.0223354,117.0500078
4764,384.1272264,117.0819786
1183,385.6026567,117.5316898
1056,386.0651475,117.6726569
3155,386.1354593,117.694088
4216,386.3958962,117.7734691
816,386.3972078,117.7738689
2948,386.7108571,117.8694692
2503,386.8505825,117.9120575
5017,386.9777338,117.9508133
170,387.197056,118.0176627
1435,387.6669317,118.1608808
3717,388.0228732,118.2693717
3773,388.351783,118.3696235
1217,388.3633302,118.373143
2844,388.5853214,118.440806
6025,388.6927483,118.4735497
5878,388.8187203,118.5119459
3671,388.8801256,118.5306623
5249,388.9407859,118.5491515
2310,388.9612193,118.5553796
5288,389.6431505,118.7632323
2276,390.556388,119.0415871
3668,390.7517802,119.1011426
5151,391.0729912,119.1990477
58,392.3707388,119.5946012
4058,392.819452,119.731369
81,393.0385802,119.7981592
5819,393.6848375,119.9951385
5648,394.3460593,120.1966789
6027,394.3620522,120.2015535
5709,394.4471695,120.2274973
1161,394.4999542,120.243586
3898,394.5725066,120.2657
2716,394.5991473,120.2738201
3875,394.7074625,120.3068346
134,394.7496866,120.3197045
375,394.9168654,120.3706606
6171,395.1804765,120.4510093
5102,395.1874391,120.4531314
420,395.5311259,120.5578872
303,395.552208,120.564313
1081,396.2847292,120.7875855
6131,396.804765,120.9460924
2843,396.8908614,120.9723346
334,396.9336654,120.9853812
1187,397.0970357,121.0351765
6242,397.2406135,121.078939
404,397.3976983,121.1268184
976,397.4084011,121.1300806
5060,397.5436729,121.1713115
164,397.8636286,121.268834
4495,398.4759674,121.4554749
5530,398.5854422,121.4888428
6508,399.1505394,121.6610844
5990,399.3717963,121.7285235
831,399.3723919,121.7287051
4025,399.5888701,121.7946876
1070,399.656048,121.8151634
5922,399.8382404,121.8706957
3658,399.9089283,121.8922413
6147,400.140009,121.9626748
5503,400.1965813,121.979918
1267,400.2392803,121.9929326
5911,400.3739067,122.0339668
3460,400.8142999,122.1681986
3321,400.9717171,122.2161794
5397,401.336904,122.3274883
537,401.6103283,122.4108281
5601,401.6198116,122.4137186
594,402.0291435,122.5384829
5842,402.1135322,122.5642046
3779,402.5470312,122.6963351
174,403.026145,122.842369
5054,403.5730715,123.0090722
5415,403.8437745,123.0915825
1932,404.2726465,123.2223027
1048,404.2955098,123.2292714
5167,404.3415247,123.2432967
178,405.7239761,123.6646679
2653,405.7888258,123.6844341
1764,405.8105312,123.6910499
6154,406.1447827,123.7929298
2835,406.2364818,123.8208797
4917,406.8216277,123.9992321
2542,406.9792909,124.0472879
3045,407.3091343,124.1478241
5519,407.3759093,124.1681771
109,407.5844439,124.2317385
3539,407.8607983,124.3159713
5160,408.5255823,124.5185975
5563,408.8620831,124.6211629
1034,408.9193687,124.6386236
3803,409.0050159,124.6647289
2209,409.1073105,124.6959082
311,409.2820859,124.7491798
5923,409.6156054,124.8508365
156,410.174289,125.0211233
6006,410.2931006,125.0573371
2758,410.4650732,125.1097543
6241,410.5525198,125.136408
4663,410.7942178,125.2100776
3641,410.8907934,125.2395138
5751,411.2349924,125.3444257
2094,411.3020831,125.3648749
5553,411.3321551,125.3740409
4957,411.3694957,125.3854223
5057,411.4265026,125.402798
882,411.686084,125.4819184
129,411.6994258,125.485985
2366,411.8192831,125.5225175
6073,411.9472727,125.5615287
5870,412.0891261,125.6047656
5945,412.1344636,125.6185845
1257,412.1951962,125.6370958
434,412.2286219,125.6472839
4246,412.6220898,125.767213
411,412.9430174,125.8650317
6145,412.9757495,125.8750085
3735,413.3190374,125.9796426
1097,413.6221815,126.0720409
5295,413.6654407,126.0852263
6156,414.8887023,126.4580764
4401,415.0455991,126.5058986
2511,415.1139225,126.5267236
2917,415.2654099,126.5728969
1155,415.3082623,126.5859584
1888,415.5258448,126.6522775
6021,415.9081201,126.768795
2479,416.155836,126.8442988
3635,416.1678775,126.8479691
920,416.2639632,126.877256
5902,416.27259,126.8798854
3565,416.2768069,126.8811708
418,417.1539687,127.1485297
5311,418.7724886,127.6418545
5724,418.8637519,127.6696716
521,419.0962935,127.7405502
5811,419.2856367,127.7982621
110,419.4023775,127.8338447
3352,419.8127255,127.9589187
3484,419.9333112,127.9956732
445,419.9635257,128.0048826
6136,420.0206269,128.0222871
3923,420.1605382,128.064932
5341,420.2956298,128.106108
4891,420.6382893,128.2105506
1757,420.6566322,128.2161415
964,420.7822621,128.2544335
1563,420.7863714,128.255686
5967,420.8159185,128.264692
1829,421.1950387,128.3802478
1193,421.3472075,128.4266289
5885,421.5109822,128.4765474
1256,421.5856588,128.4993088
2044,422.6570719,128.8258755
626,422.766517,128.8592344
410,423.180305,128.985357
2224,423.2169552,128.9965279
708,423.3710817,129.0435057
3682,423.7264552,129.1518235
3827,423.7723445,129.1658106
3391,424.2513867,129.3118227
5748,424.4284197,129.3657823
431,424.5107545,129.390878
3903,424.7464235,129.4627099
6077,425.1147861,129.5749868
6054,425.1571348,129.5878947
3118,425.6190273,129.7286795
2834,425.8681704,129.8046183
641,425.9352565,129.8250662
294,426.3020133,129.9368537
3587,426.5790848,130.021305
5345,427.66212,130.3514142
4018,428.1611779,130.503527
349,428.67869,130.6612647
3740,428.8649972,130.7180512
5550,428.8739935,130.7207932
5529,429.0211696,130.7656525
4515,429.0771655,130.78272
3955,429.1498391,130.8048709
5515,429.5830569,130.9369157
3348,429.8085416,131.0056435
5591,429.8815847,131.027907
167,430.0488009,131.0788745
6216,430.0674584,131.0845613
3154,430.1925096,131.1226769
668,430.2212661,131.1314419
930,430.4033476,131.1869403
441,430.7761916,131.3005832
5720,430.7774868,131.300978
6123,431.7539572,131.5986061
5192,431.9564087,131.6603134
6243,432.0559724,131.6906604
