FID,distance_before
0,1131.412536
1,899.390554
2,1056.484659
3,1114.919165
4,852.4823235
5,1009.061979
6,938.8011635
7,831.2194727
8,473.0185177
9,793.8589467
10,1307.340385
11,1134.405986
12,648.746429
13,792.5863787
14,988.0845549
15,834.5794216
16,771.9685185
17,1165.138544
18,769.0372688
19,803.6784695
20,288.8830867
21,849.3900535
22,1342.613524
23,378.7502764
24,1115.380762
25,954.4818345
26,1034.356386
27,817.7443549
28,870.833808
29,877.63275
30,1220.444487
31,759.2392133
32,965.5925571
33,1190.430562
34,1127.482391
35,826.158717
36,925.2830994
37,1149.613598
38,833.9967636
39,588.9690998
40,1074.331615
41,928.4683753
42,948.0116346
43,892.1792806
44,713.8503077
45,1175.422073
46,913.4077601
47,755.9142353
48,608.6571076
49,962.6096247
50,817.1328154
51,1156.431829
52,1305.070387
53,812.6157565
54,740.2884707
55,978.3146153
56,787.8510392
57,1231.102962
58,392.3707388
59,1168.234068
60,748.7263346
61,894.9936592
62,864.9222263
63,725.0756557
64,959.889855
65,1181.003964
66,483.5871645
67,846.7720665
68,1084.544079
69,922.1534304
70,880.0957652
71,1419.638217
72,967.0757162
73,1182.392406
74,902.9760939
75,1407.420031
76,687.2473228
77,964.3693524
78,1031.980405
79,678.1052631
80,1320.1065
81,393.0385802
82,741.4244864
83,765.3774174
84,910.4218756
85,906.4455939
86,1065.336338
87,786.8660317
88,641.4713324
89,1331.561739
90,850.7183876
91,628.7073672
92,943.3797702
93,696.4906959
94,650.7682606
95,769.8724647
96,998.4205619
97,1099.262278
98,1166.770192
99,1199.423808
100,1054.989761
101,878.9778023
102,1406.437882
103,1209.811883
104,290.640787
105,709.8837421
106,1045.906895
107,545.5838993
108,993.6614097
109,407.5844439
110,419.4023775
111,210.2977181
112,384.0223354
113,569.5178168
114,496.8692152
115,226.3811755
116,1768.575489
117,554.1836419
118,1752.828543
119,994.244201
120,253.9177585
121,340.005705
122,311.1927955
123,351.0613978
124,510.742794
125,380.8563343
126,287.8782201
127,593.172004
128,335.7093811
129,411.6994258
130,1410.574892
131,264.352064
132,681.6159765
133,858.1410714
134,394.7496866
135,273.0256315
136,703.8434844
137,310.0604666
138,1689.383022
139,1202.671272
140,916.2447932
141,435.3503608
142,574.8690039
143,735.3822546
144,834.3211185
145,124.6684579
146,1770.810537
147,1235.168242
148,181.0159556
149,1024.234976
150,913.6863295
151,640.0908885
152,1432.128106
153,1350.174979
154,215.0795131
155,1561.679323
156,410.174289
157,716.2446645
158,361.9739437
159,272.585638
160,1385.811173
161,1350.556274
162,1338.176451
163,443.8691259
164,397.8636286
165,1253.003304
166,855.199752
167,430.0488009
168,1100.933698
169,438.7380751
170,387.197056
171,633.5624704
172,781.0590132
173,78.78783949
174,403.026145
175,871.1566143
176,489.3660708
177,695.2528628
178,405.7239761
179,1621.809233
180,729.2645831
181,884.1964359
182,666.7335261
183,100.2663213
184,625.7043681
185,525.0343798
186,360.4078027
187,448.2287508
188,367.9585895
189,256.0367512
190,1320.037326
191,1085.132516
192,222.6525927
193,854.8413221
194,603.9360622
195,264.0662677
196,279.5311172
197,1049.453551
198,1082.204242
199,565.8460874
200,331.5394945
201,1682.287822
202,1718.247285
203,920.1135854
204,1071.480049
205,1298.536579
206,698.5433621
207,1303.747706
208,1019.158217
209,227.7835252
210,902.8513577
211,1614.025808
212,342.2808359
213,917.6717083
214,1486.611419
215,846.3353085
216,898.9972148
